season,timestamp,institution,location,subject_area,review_date,url,rank,appointment
2023-2024,2023-10-23T14:51:09.186,Washington State University,Washington,Sustainable Forest Management Systems,2023-11-15,https://wsu.wd5.myworkdayjobs.com/en-US/WSU_Jobs/details/Assistant-or-Associate-Professor---Sustainable-Forest-Management-Systems_R-10569?q=forest,Asst / Assoc Prof,Tenure Stream
2023-2024,2023-10-23T15:21:43.053,Virginia Tech,Virginia,Genomics & Physiological Mechanisms of Plant Adaptation to Temperature Stress,2024-01-04,https://careers.pageuppeople.com/968/cw/en-us/job/527467/assistant-professor-genomics-and-physiological-mechanisms-of-plant-adaptation-to-temperature-stress,Asst Prof,Tenure Stream
2023-2024,2023-10-24T07:30:50.348,University of North Carolina Greensboro,North Carolina,Cell / Molecular Biologist,2023-11-01,https://spartantalent.uncg.edu/postings/27165,Asst Prof,Tenure Stream
2023-2024,2023-10-24T07:33:03.275,Kennesaw State University,Georgia,Physiology,2023-12-01,https://careers.hprod.onehcm.usg.edu/psc/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_SCHJOB_FL&Action=U,Asst Prof,Tenure Stream
2023-2024,2023-10-24T07:58:16.830,Florida Atlantic University,Florida,Climate Change Ecologist,2024-01-02,https://fau.wd1.myworkdayjobs.com/en-US/FAU/details/Assistant-Professor---Climate-Change-Ecologist_REQ16945?jobFamilyGroup=a3f4baab6db41036e7a0fc8badf74f51,Asst Prof,Tenure Stream
2023-2024,2023-10-24T08:27:51.929,University of New England,Maine,"Biology (Disease Ecology, Mycology, or Cell Signaling)",2023-11-13,https://une.peopleadmin.com/postings/16746,Asst Prof,Tenure Stream
2023-2024,2023-10-24T08:32:05.455,University of New England ,Maine,Aquaculture,2023-10-17,https://une.peopleadmin.com/postings/16727,Asst Prof,Tenure Stream
2023-2024,2023-10-24T08:57:10.324,"University of California, Riverside",California,Plant Resilience to Climate Change,2023-12-15,https://aprecruit.ucr.edu/JPF01827,Asst Prof,Tenure Stream
2023-2024,2023-10-24T09:28:53.882,St. Lawrence University,New York,Field Biology,,https://employment.stlawu.edu/postings/3510,Asst Prof,Tenure Stream
2023-2024,2023-10-24T11:12:35.996,Emporia State University,Kansas,Landscape or Wildlife Ecology,2023-11-20,https://hr.hornet365.com/1521-assistant-/-associate-landscape-and-wildlife-ecology,Asst / Assoc Prof,Tenure Stream
2023-2024,2023-10-24T19:31:15.783,Hampton University,Virginia,Biology,2023-09-26,https://www.hamptonu.edu/hr/jobdetail.cfm?id=1348,Asst / Assoc Prof,Tenure Stream
2023-2024,2023-10-24T20:27:25.625,San Diego State University,California,Marine Biology,2023-11-30,https://apply.interfolio.com/133651,Assoc / Full Prof,Tenure Stream
2023-2024,2023-10-24T20:30:26.282,Georgia College & State University ,Georgia,Computational Biology,2023-12-01,https://careers.hprod.onehcm.usg.edu/psc/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=264955&PostingSeq=2,Asst Prof,Tenure Stream
2023-2024,2023-10-25T06:51:55.843,Iowa State University,Iowa,Biogeochemistry / Ecosystem Ecology,2023-12-15,https://isu.wd1.myworkdayjobs.com/en-US/IowaStateJobs/job/Assistant-Professor-in-Biogeochemistry-Ecosystem-Ecology_R13253,Asst Prof,Tenure Stream
2023-2024,2023-10-25T08:20:09.451,Michigan Technological University,Michigan,"Department Chair, Biological Sciences",2023-10-30,https://www.employment.mtu.edu/cw/en-us/job/493367,Full Prof,Tenure Stream
2023-2024,2023-10-25T10:26:46.950,University of North Carolina at Wilmington,North Carolina,Avian Field Ecology & Wildlife Conservation / Management,2023-11-30,https://jobs.uncw.edu//postings/30172,Asst Prof,Tenure Stream
2023-2024,2023-10-25T10:39:17.271,University of Saskatchewan,Canada,Ornithology,2023-11-14,https://ornithologyexchange.org/jobs/board/academic-positions/houston-professor-of-ornithology-university-of-saskatchewan-r20149/,Asst Prof,Tenure Stream
2023-2024,2023-10-25T17:15:52.905,American Museum of Natural History,New York,Conservation Science,2023-12-04,https://careers.amnh.org/postings/3901,Assoc / Full Prof,Museum
2023-2024,2023-10-26T02:38:05.084,University of Hohenheim & Natural History Museum Stuttgart,Germany,Biodiversity Monitoring,2023-11-15,https://berufungsportal.uni-hohenheim.de/,Full Prof,Tenure Stream
2023-2024,2023-10-26T07:16:52.366,Concordia University,Canada,Computational Genomics,2023-11-30,https://www.nature.com/naturecareers/job/12808203/assistant-professor-and-canada-research-chair-in-computational-genomics?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,Asst Prof,Tenure Stream
2023-2024,2023-10-26T09:56:18.304,Georgia Southern University,Georgia,Cell and Molecular,2023-11-01,https://cosm.georgiasouthern.edu/biology/files/BIO-ASTP-ASOP-Ad-Copy-FINAL.docx.pdf,Asst / Assoc Prof,Tenure Stream
2023-2024,2023-10-26T10:51:51.821,California State University Sacramento,California,Environmental Health Equity,2023-11-27,https://careers.csus.edu/en-us/job/531711/tenure-track-faculty-environmental-health-equity,Asst Prof,Tenure Stream
2023-2024,2023-10-26T11:24:39.560,Memorial University of Newfoundland,Canada,Systems Biology,2023-12-01,https://www.mun.ca/biology/departmental-employment-opportunities/,Asst Prof,Tenure Stream
2023-2024,2023-10-26T20:26:53.559,University of Pennsylvania,Pennsylvania,Machine Learning in Biology,2023-11-06,https://apply.interfolio.com/133260,Asst Prof,Tenure Stream
2023-2024,2023-10-27T15:44:58.837,Adelphi University,New York,Microbiology / Genetics,2023-11-30,https://phf.tbe.taleo.net/phf02/ats/careers/v2/viewRequisition?org=ADELPHI&cws=43&rid=3026,Asst Prof,Tenure Stream
2023-2024,2023-10-27T16:16:19.420,University of British Columbia,Canada,Black Faculty Cluster in Quantitative & Environmental Science,2023-11-30,https://science.ubc.ca/blackscholars,Asst / Assoc Prof,Tenure Stream
2023-2024,2023-10-29T09:54:44.921,Florida Gulf Coast University,Florida,Quantitative Ecology / Ecosystem Modeling,2023-11-17,https://fgcu.wd5.myworkdayjobs.com/en-US/eaglejobs/job/Main-Campus/Assistant-Professor--Quantitative-Ecology---Ecosystem-Modeling_R0004388?workerSubType=7606cd1535ba016f9151c43d68012214&workerSubType=7606cd1535ba01e56580c43d68012414&workerSubType=7606cd1535ba014f6fabc43d68012614,Asst Prof,Non-TS Academic
2023-2024,2023-10-29T20:57:20.762,University of Notre Dame,Indiana,Virology,2023-11-27,https://apply.interfolio.com/133772,Asst / Assoc Prof,Tenure Stream
2023-2024,2023-10-30T07:21:25.266,Uppsala University,Sweden,Limnology,2024-01-10,https://www.jobb.uu.se/details/?positionId=664364,Assoc Prof,Tenure Stream
2023-2024,2023-10-30T08:46:09.869,Texas A&M International University,Texas,Biology,2023-11-01,https://tamus.wd1.myworkdayjobs.com/en-US/TAMIU_External/details/Assistant-Professor-of-Biology_R-066173?workerSubType=0e1cd8ed3502012ddf607157e74b7d04,Asst Prof,Tenure Stream
2023-2024,2023-10-30T08:57:02.527,US Forest Service,Arkansas,Forest Wildlife Ecology,2023-11-24,https://www.usajobs.gov/job/757649100,GS-12,Government
2023-2024,2023-10-30T14:21:18.320,University of Washington,Washington,Computational Biology,2023-12-01,https://apply.interfolio.com/135108,Asst Prof,Tenure Stream
2023-2024,2023-10-30T14:41:57.920,CSU Monterey Bay,California,Marine Education & Outreach,2024-01-16,https://careers.csumb.edu/en-us/job/533025/assistant-professor-of-marine-education-and-education,Asst Prof,Tenure Stream
2023-2024,2023-10-30T14:43:10.363,CSU Monterey Bay,California,Marine Invertebrate Ecology,2024-01-16,https://careers.pageuppeople.com/873/mb/en-us/job/533020/assistant-professor-of-marine-invertebrate-ecology,Asst Prof,Tenure Stream
2023-2024,2023-10-30T15:11:31.396,Kansas State University,Kansas,Extension & Applied Fisheries Research,2023-11-27,https://careers.k-state.edu/cw/en-us/job/516245/assistant-professor,Asst Prof,Tenure Stream
2023-2024,2023-10-30T15:22:46.805,University of British Columbia,Canada,Fungal Diversity,2023-12-15,https://academicjobsonline.org/ajo/jobs/26297,Asst Prof,Tenure Stream
2023-2024,2023-10-30T16:20:27.157,Uppsala University,Sweden,Evolutionary Genomics,2023-12-08,https://uu.varbi.com/en/what:job/jobID:634290/type:job/where:4/apply:1,Assoc Prof,Tenure Stream
2023-2024,2023-10-30T16:48:55.508,Eastern Michigan University,Michigan,Microbiology,2023-11-27,https://careers.emich.edu/jobs/6b7c1928-5ad6-40fd-9134-bd702a8d92cd,Asst Prof,Tenure Stream
2023-2024,2023-10-31T03:29:09.717,Michigan State University Extension,Michigan,Michigan Natural Features Inventory Director,2023-11-27,https://careers.msu.edu/en-us/job/515200/conservation-scientistfixed,Fixed term renewable,Non-TS Academic
2023-2024,2023-10-31T06:19:13.650,Flagler College,Florida,Natural Sciences (open),2023-11-27,https://apply.interfolio.com/135580,Asst Prof,Non-TS Academic
2023-2024,2023-10-31T07:35:40.508,Stony Brook University,New York,Marine Conservation Ecology,2024-01-05,https://apply.interfolio.com/134633,Asst Prof,Tenure Stream
2023-2024,2023-10-31T10:48:58.937,University of Mary Washington,Virginia,Organismal Biology,2023-12-15,https://careers.umw.edu/postings/13584,Asst Prof,Tenure Stream
2023-2024,2023-10-31T20:16:33.924,Indiana University - Bloomington,Indiana,"Energy, Water, and Land Use Interdisciplinary Cluster",2023-10-16,https://indiana.peopleadmin.com/postings/21014?job_application_id=286376.,Asst Prof,Tenure Stream
2023-2024,2023-11-01T06:08:08.446,U.S. Forest Service,Michigan,Ecosystem Modeling,2023-11-22,https://www.usajobs.gov/job/758146900,GS-12,Government
2023-2024,2023-11-01T07:46:08.732,University of South Carolina,South Carolina,"Environmental Science, Natural Resource Management",2023-12-04,https://uscjobs.sc.edu/postings/155951,Instructor,Non-TS Academic
2023-2024,2023-11-01T08:23:19.735,University of North Florida,Florida,Coastal Ecology,2023-11-27,https://www.unfjobs.org/postings/25945,Asst Prof,Tenure Stream
2023-2024,2023-11-01T12:07:14.948,Arizona State University,Arizona,Drylands Ecology,2023-11-06,https://apply.interfolio.com/133660,Asst / Assoc Prof,Tenure Stream
2023-2024,2023-11-01T12:09:28.702,University of Rio Grande,Ohio,Wildlife Conservation & Biology,2023-12-01,https://www.higheredjobs.com/institution/details.cfm?JobCode=178582776&Title=Assistant%20Professor%20of%20Wildlife%20Conservation%20%26%20Biology,Asst Prof,Tenure Stream
2023-2024,2023-11-01T12:12:29.090,United Tribes Technical College,North Dakota,Traditional Ecological Knowledge / Indigenous Research Methodologies,2023-11-03,https://uttc.edu/2023/10/23/research-faculty-traditional-ecological-knowledge-indigenous-research-methodologies-closes-november-32023-at-500pm/,Research Faculty,Non-TS Academic
2023-2024,2023-11-01T12:26:22.706,South Dakota State University,South Dakota,Plant Conservation / Herbarium,2023-12-01,https://yourfuture.sdbor.edu/postings/36812,Asst Prof,Tenure Stream
2023-2024,2023-11-01T13:40:52.064,"University of Minnesota, Duluth",Minnesota,Large Lakes Observatory Director,2023-12-04,https://findajob.agu.org/job/8021976/large-lakes-observatory-director-/,Unclear,Tenure Stream
2023-2024,2023-11-02T08:58:51.501,Florida State University,Florida,Evolutionary Biology,2023-11-27,https://www.bio.fsu.edu/current_faculty_positions.php#assist_prof_evolution,Asst Prof,Tenure Stream
2023-2024,2023-11-02T17:37:17.646,Georgetown University ,District of Columbia,Environmental Science,2023-12-15,http://apply.interfolio.com/135568 ,Rank Open,Tenure Stream
2023-2024,2023-11-03T11:09:12.222,Concordia College Moorhead,Minnesota,Microbiology & Bioinformatics,2023-12-20,https://hr.cord.edu/postings/10364,Asst Prof,Tenure Stream
2023-2024,2023-11-03T12:29:39.610,UC Riverside,California,Agroecology & Sustainable Pest Management,2024-01-16,https://aprecruit.ucr.edu/JPF01794,Asst Prof,Tenure Stream
2023-2024,2023-11-03T13:24:02.801,Case Western Reserve University,Ohio,Neurobiology / Neuroethology,2023-12-14,https://case.edu/academic-careers/assistant-professor-tenure-track-department-biology-0,Asst Prof,Tenure Stream
2023-2024,2023-11-03T14:36:40.102,Idaho State University,Idaho,Herbarium Curator,2023-12-01,https://isu.csod.com/ux/ats/careersite/5/home/requisition/2062?c=isu,Herbarium Curator,Museum
2023-2024,2023-11-05T06:21:06.384,National Science Foundation,Virginia,Population / Community Ecology,2023-12-01,https://www.usajobs.gov/job/759052000,Program Director / AD 4,Government
2023-2024,2023-11-05T19:21:50.661,University of Washington,Washington,Quantitative Environmental Sciences,2023-12-01,https://apply.interfolio.com/130626,Asst Teaching Prof,Non-TS Academic
2023-2024,2023-11-05T19:25:13.412,University of Washington,Washington,Quantitative Understanding of Collective Behaviour,2023-12-01,https://apply.interfolio.com/130336,Asst Prof,Tenure Stream
2023-2024,2023-11-05T19:28:36.414,University of Washington,Washington,Discipline-Based Education Research in Biology,2023-12-01,https://apply.interfolio.com/130335,Asst Prof,Tenure Stream
2023-2024,2023-11-06T01:58:38.719,NTNU: Norwegian University of Science and Technology,Norway,Biological Oceanography,2024-02-01,https://www.jobbnorge.no/en/available-jobs/job/252889/associate-professor-in-biological-oceanography,Assoc Prof,Tenure Stream
2023-2024,2023-11-06T09:07:30.564,Texas A&M University,Texas,Remote Sensing for Ocean Science,,https://apply.interfolio.com/133449,Asst Prof,Tenure Stream
2023-2024,2023-11-06T09:34:09.956,"University of South Florida, St. Petersburg Campus",Florida,Global Change Biology,2023-12-01,https://gems.usf.edu:4440/psp/gemspro-tam/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=35581&PostingSeq=1,Asst Prof,Tenure Stream
2023-2024,2023-11-06T09:35:22.339,University of Illinois at Urbana-Champaign,Illinois,Applied Grassland Ecology,2023-12-01,https://illinois.csod.com/ux/ats/careersite/1/home/requisition/8532?c=illinois,Asst Prof,Tenure Stream
2023-2024,2023-11-06T10:50:50.362,University of Illinois at Urbana-Champaign,Illinois,Biological Anthropology,2023-11-20,https://illinois.csod.com/ux/ats/careersite/1/home/requisition/8418?c=illinois,Asst / Assoc Prof,Tenure Stream
2023-2024,2023-11-06T11:21:42.506,University of South Florida,Florida,Marine Biology,2023-11-13,https://www.higheredjobs.com/search/details.cfm?JobCode=178580049&Title=Assistant%20Professor%20of%20Instruction%2C%20Marine%20Biology,Asst Prof of Instruction,Non-TS Academic
2023-2024,2023-11-06T16:03:04.278,University of California Riverside,California,Fungal Biology,2024-01-06,https://microplantpath.ucr.edu/job-opportunities#assistant-professor-in-fungal-,Asst Prof,Tenure Stream
2023-2024,2023-11-06T17:16:05.203,University of Texas - Austin Marine Science Institute,Texas,Marine Science,2023-12-15,https://apply.interfolio.com/135967,Open rank,Tenure Stream
2023-2024,2023-11-07T07:11:47.753,University of South Carolina,South Carolina,Marine and Coastal Sciences,,https://uscjobs.sc.edu/postings/155296,Assoc / Full Prof,Tenure Stream
2023-2024,2023-11-07T11:44:40.697,Princeton University,New Jersey,Biodiversity,2024-01-16,https://puwebp.princeton.edu/AcadHire/apply/application.xhtml?listingId=32481,Rank Open,Tenure Stream
2023-2024,2023-11-07T12:46:14.627,The Morton Arboretum,Illinois,Tree Conservation Biology,2023-12-07,https://careers.hireology.com/themortonarboretum/1524619/description,Program Manager,Non-Profit Research Organization
2023-2024,2023-11-07T14:15:19.640,Sewanee: The University of the South,Tennessee,Biology,2023-11-20,https://www.higheredjobs.com/institution/details.cfm?JobCode=178598940&Title=Assistant%20Professor%20of%20Biology,Asst Prof,Tenure Stream
2023-2024,2023-11-07T14:16:57.764,Sewanee: The University of the South,Tennessee,Neurobiology,2023-11-20,https://www.higheredjobs.com/institution/details.cfm?JobCode=178598938&Title=Assistant%20Professor%20of%20Neurobiology,Asst Prof,Tenure Stream
2023-2024,2023-11-07T14:25:10.987,Arizona State University West Valley Campus,Arizona,Biology / Ecology,2023-12-26,http://apply.interfolio.com/136190,Asst Teaching Professor,Non-TS Academic
2023-2024,2023-11-08T04:43:35.258,Kew Gardens,United Kingdom,Botany,,https://www.researchgate.net/job/1003338_Senior_Research_Leader_Asia,Senior Research Leader,Government
2023-2024,2023-11-08T05:55:04.279,NIH NHGRI,Maryland,Genomics and Comp Bio,,https://www.genome.gov/careers-training/NHGRI-Jobs/CGDSR-tenure-track-or-tenure-eligible-investigator-recruitment,Asst / Assoc Prof,Tenure Stream
2023-2024,2023-11-08T07:24:48.221,Delta County Conservation District,Michigan,Natural Resource Management / Environmental Science,,https://www.deltacd.org/employment-opportunities.html,Manager,Government
2023-2024,2023-11-08T08:40:02.666,University of Vermont,Vermont,Plant Biology,2023-12-01,https://www.uvmjobs.com/postings/68302,Lecturer,Non-TS Academic
2023-2024,2023-11-08T10:11:25.412,University of Tennessee at Chattanooga,Tennessee,Applied Freshwater Fish Biology,2023-12-04,https://ut.taleo.net/careersection/utc_faculty/jobdetail.ftl?job=23000002FQ&tz=GMT-05%3A00&tzname=America%2FNew_York,Asst Prof,Tenure Stream
2023-2024,2023-11-08T16:31:29.373,Iowa State University,Iowa,Host - Microbe Interactions,2023-10-23,https://iowa-state-university.talentify.io/job/assistant-professor-in-host-microbiome-interactions-ames-iowa-iowa-state-university-r12903?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,Asst Prof,Tenure Stream
2023-2024,2023-11-09T13:15:44.168,Lincoln University,New Zealand,Soil Ecology,2023-11-25,"https://careers.lincoln.ac.nz/jobdetails/ajid/RLdu7/Lecturer-in-Soil-Ecology,2023-13721.html",Asst Prof,Tenure Stream
2023-2024,2023-11-09T17:38:58.595,University of Florida,Florida,Marine Biodiversity - Invertebrates,2024-01-02,https://explore.jobs.ufl.edu/en-us/job/529241/assistant-professor-position-in-marine-invertebrate-biodiversity,Asst Prof,Tenure Stream
2023-2024,2023-11-10T01:25:41.253,Bangor University,United Kingdom,Biological Oceanography,2023-11-27,https://jobs.bangor.ac.uk/details.php.en?id=QLYFK026203F3VBQB7V68LOTX&nPostingID=7493&nPostingTargetID=8400&mask=stdext&lg=UK,Lecturer,Tenure Stream
2023-2024,2023-11-10T01:26:15.274,Bangor University,United Kingdom,Marine Top-Predator Ecology and Conservation ,2023-11-27,https://jobs.bangor.ac.uk/details.php.en?id=QLYFK026203F3VBQB7V68LOTX&nPostingID=7492&nPostingTargetID=8397&mask=stdext&lg=UK,Lecturer,Tenure Stream
2023-2024,2023-11-10T11:11:20.819,University of Queensland,Australia,Wildlife Science,2023-10-23,https://www.academicgates.com/job/lecturer-or-senior-lecturer-in-wildlife-science/611695,Asst / Assoc Prof,Tenure Stream
2023-2024,2023-11-10T12:16:08.426,James Madison University,Virginia,Sustainability,2023-11-13,https://joblink.jmu.edu/postings/15708,Asst Prof,Tenure Stream
2023-2024,2023-11-10T12:29:21.954,American Museum of Natural History,New York,Ancient Biomolecules,2024-01-05,https://careers.amnh.org/postings/3919,Asst Curator / Asst Prof,Tenure Stream
2023-2024,2023-11-12T08:56:25.467,Louisiana State University,Louisiana,Insect Systematics,2024-01-15,https://lsu.wd1.myworkdayjobs.com/en-US/LSU/job/Assistant-Associate-Professor--Insect-Systematics-_R00088307-1,Asst / Assoc Prof,Tenure Stream
2023-2024,2023-11-13T05:31:50.763,Augusta University,Georgia,Ecology,,https://www.higheredjobs.com/institution/details.cfm?JobCode=178601834&Title=Open%20Rank%20Academic%20Faculty%20in%20Biology,Rank Open,Tenure Stream
2023-2024,2023-11-13T06:25:46.255,Rutgers University,New Jersey,Microbial Evolution,2024-01-02,https://jobs.rutgers.edu/postings/213834,Asst Prof,Tenure Stream
2023-2024,2023-11-13T07:38:30.569,American Museum of Natural History,New York,Mammalogy,2024-01-03,https://careers.amnh.org/postings/3921,Asst Prof,Tenure Stream
2023-2024,2023-11-13T12:39:15.783,University of Ottawa,Canada,Evolutionary Ecology,2024-01-10,https://uottawa.wd3.myworkdayjobs.com/en-US/uOttawa_External_Career_Site/job/Ottawa-ON/Tenure-track-positions-in-evolutionary-ecology---BIO_JR7952,Asst / Assoc Prof,Tenure Stream
2023-2024,2023-11-13T14:50:13.949,University of Hawai'i Manoa,Hawaii,Marine Biology,2023-12-01,https://www.schooljobs.com/careers/hawaiiedu/jobs/4259510-0/assistant-professor-marine-biology,Asst Prof,Tenure Stream
2023-2024,2023-11-13T15:58:25.692,Clemson University,South Carolina,Turf & Ornamental Entomology,2023-11-30,https://apply.interfolio.com/132764,Asst Prof,Tenure Stream
2023-2024,2023-11-14T10:24:58.955,Francis Marion University,South Carolina,Chemical Ecology / Ecotoxicology,2023-11-15,https://www.fmarion.edu/job/assistant-professor-of-biology-chemical-ecology-ecotoxicology-24-09/,Asst Prof,Tenure Stream
2023-2024,2023-11-14T11:06:14.290,Institut Jacques Monod,France,Biology,2024-02-16,https://www.ijm.fr/call-for-group-leaders/?lang=en,Group Leader,Non-Profit Research Organization
2023-2024,2023-11-14T14:06:44.819,Denver Museum of Nature and Science,Colorado,Genomics,2024-01-05,https://www.dmns.org/about/careers/current-openings?p=job%2FoLDupfw1,Museum Scientist,Museum
2023-2024,2023-11-15T03:40:01.601,Tougaloo College,Mississippi,Evolutionary Biology or Environmental Science,,https://www.tougaloo.edu/jobs/tenure-track-assistant-professor-biology-1,Asst Prof,Tenure Stream
2023-2024,2023-11-15T10:51:06.076,Cornell AgriTech,New York,Seed Biology and Technology,2024-01-02,https://academicjobsonline.org/ajo/jobs/26391,Asst Prof,Tenure Stream
2023-2024,2023-11-15T10:52:15.676,Cornell University,New York,Ecophysiology of Field Crop Systems,2024-02-01,https://academicjobsonline.org/ajo/jobs/26594,Asst / Assoc Prof,Tenure Stream
2023-2024,2023-11-15T11:11:13.098,University of Hawaii,Hawaii,Entomology,2024-02-28,https://www.schooljobs.com/careers/hawaiiedu/jobs/4257631/assistant-specialist-arthropod-identification-and-monitoring?keywords=arthropod&pagetype=jobOpportunitiesJobs,Asst Specialist,Tenure Stream
2023-2024,2023-11-15T12:48:30.548,University of Maine,Maine,Marine Biology,2024-01-02,https://umaine.hiretouch.com/job-details?jobID=83256&job=assistant-professor-of-marine-biology,Asst Prof,Tenure Stream
2023-2024,2023-11-15T12:50:39.809,University of Colorado Boulder,Colorado,Physical Geography,2023-12-11,https://jobs.colorado.edu/jobs/JobDetail/Assistant-Professor/52806,Asst Prof,Tenure Stream
2023-2024,2023-11-15T13:40:00.552,Michigan State University,Michigan,Plant Resilience,2024-02-01,https://careers.msu.edu/en-us/job/516830/assistantassociatefull-professor-tenure-system,Rank Open,Tenure Stream
2023-2024,2023-11-15T14:37:49.977,East Tennessee State University,Tennessee,Forest Ecologist,2024-01-08,https://jobs.etsu.edu/postings/25730,Asst Prof,Tenure Stream
2023-2024,2023-11-15T15:09:43.402,University of West Florida,Florida,Genetics,2024-01-08,https://careersmanager.pageuppeople.com/997/cw/en-us/job/495110/assistant-professor-102560,Asst Prof,Tenure Stream
2023-2024,2023-11-15T15:13:53.010,Chadron State College,Nebraska,Rangeland Management & Livestock,,https://nscs.peopleadmin.com/postings/11165,Asst Prof,Tenure Stream
2023-2024,2023-11-15T15:30:09.039,University of Missouri,Missouri,Conservation Education,2023-11-01,https://erecruit.umsystem.edu/psc/tamext/COLUM/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&SiteId=9&FOCUS=Applicant&SiteId=9&JobOpeningId=48723&PostingSeq=1,Asst Teaching Prof,Non-TS Academic
2023-2024,2023-11-15T15:36:34.523,"California State University, Fresno",California,Environmental Science,2023-12-31,https://careers.fresnostate.edu/en-us/job/531677/environmental-science-assistant-professor,Asst Prof,Tenure Stream
2023-2024,2023-11-15T15:46:47.639,Iowa State University,Iowa,Global Wildlife Conservation,2024-01-07,https://isu.wd1.myworkdayjobs.com/IowaStateJobs/job/Ames-IA/Assistant-Professor-of-Global-Wildlife-Conservation_R13471,Asst Prof,Tenure Stream
2023-2024,2023-11-15T16:32:36.295,Texas A&M University - College Station,Texas,Avian Ecology & Management,2023-12-01,https://apply.interfolio.com/132466,Assoc Prof,Tenure Stream
2023-2024,2023-11-15T16:51:24.207,University of Hawai'i at Manoa,Hawaii,Coastal Fisheries Management & Policy,2023-12-18,https://www.schooljobs.com/careers/hawaiiedu/jobs/4250693/assistant-professor-coastal-fisheries-management-and-policy-85881,Asst Prof,Tenure Stream
2023-2024,2023-11-15T17:09:52.616,Texas A&M University - Kingsville,Texas,Conservation Biology,,https://tamus.wd1.myworkdayjobs.com/en-US/TAMUK_External/job/Kingsville-TX/Assistant-Professor-Biological-Scientist_R-054576,Asst Prof,Tenure Stream
2023-2024,2023-11-15T17:10:35.766,Texas A&M University - Kingsville,Texas,Conservation Biology,,https://tamus.wd1.myworkdayjobs.com/en-US/TAMUK_External/job/Kingsville-TX/Assistant-Professor--Biology_R-067184,Asst Prof,Tenure Stream
2023-2024,2023-11-15T18:33:05.461,University of California - Davis,California,Plant Pathology (Plant Disease Ecology),2023-10-23,https://recruit.ucdavis.edu/JPF05943,Asst Prof,Tenure Stream
2023-2024,2023-11-16T08:35:32.523,UNC Charlotte,North Carolina,Bioinformatics,,https://academicsearch.org/open-searches-public/entry/17357/?search=17357,Department Chair,Tenure Stream
2023-2024,2023-11-16T11:45:12.078,Northern Michigan University,Michigan,"Biology (any field including Ecology, Evolution, Conservation Biology, Molecular and Cellular Biology)",2024-01-07,https://workatnmu.nmu.edu/en-us/job/494356/assistant-professortenure-trackbiologist,Asst Prof,Tenure Stream
2023-2024,2023-11-16T12:45:35.143,Southern Oregon University,Oregon,Botany / Plant Physiology,2024-01-02,https://jobs.sou.edu/postings/11755,Asst Prof,Tenure Stream
2023-2024,2023-11-16T14:58:59.476,Colorado Mesa University,Colorado,Cellular & Molecular Biology,2023-12-03,https://coloradomesa.csod.com/ux/ats/careersite/2/home/requisition/986?c=coloradomesa,Asst Prof,Tenure Stream
2023-2024,2023-11-16T22:18:49.874,Auckland War Memorial Museum,New Zealand,"Curator, Marine Invertebrates",2023-11-28,https://aucklandmuseum.elmotalent.co.nz/careers/opportunities/job/view/334,Curator,Museum
2023-2024,2023-11-17T07:32:37.829,Minot State University,North Dakota,Wildlife Biology,2023-12-15,https://prd.hcm.ndus.edu/psc/recruit/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=2949570&PostingSeq=1,Asst Prof,Tenure Stream
2023-2024,2023-11-17T08:25:04.375,Michigan State University,Michigan,"Ecology, Evolution, Genetics",2024-03-01,https://careers.msu.edu/en-us/job/516847/instast-prof-fixed-term,Instructor,Non-TS Academic
2023-2024,2023-11-17T09:12:28.896,Colby College,Maine,Evolutionary Biology,2024-01-25,http://apply.interfolio.com/136768,Asst Prof,Tenure Stream
2023-2024,2023-11-17T09:31:24.271,Northern Arizona University,Arizona,"Botany, Systematics",2023-12-11,https://hr.peoplesoft.nau.edu/psp/ph92prta/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=2&JobOpeningId=607593&PostingSeq=1,Asst Prof,Tenure Stream
2023-2024,2023-11-17T13:34:40.135,"University of Colorado, Boulder",Colorado,Ecology / General Biology / Plant Biology,2023-11-30,https://jobs.colorado.edu/jobs/JobDetail/Teaching-Assistant-Professor-Instructor/53004,Instructor,Non-TS Academic
2023-2024,2023-11-17T13:56:49.744,Oakland University,Michigan,Sustainability,2024-01-01,https://jobs.chronicle.com/job/37562753/associate-provost-of-sustainability/,Rank Open,Associate Provost
