season,timestamp,institution,location,subject_area,review_date,url,rank,appointment,institution_clean,carnegie_basic,is_r1
2021-2022,2022-01-19T15:40:42.548,"Baruch College, City University of New York",New York,Biology,2022-02-01,https://cuny.jobs/new-york-ny/assistant-professor-biology/CB15E219A1B04AAAA41DE4A9805C241F/job/,Asst Prof,Tenure Track,CUNY Bernard M Baruch College,18,false
2021-2022,2022-01-19T21:31:50.802,North Carolina State University,North Carolina,Bioinformatics,,https://jobs.ncsu.edu/postings/156081?job_application_id=2155566,Rank Open,Tenure Track,North Carolina State University at Raleigh,15,true
2021-2022,2022-01-20T10:47:54.293,Ohio State University,Ohio,Forest Ecology,2022-02-17,https://osu.wd1.myworkdayjobs.com/OSUCareers/job/Columbus-Campus/Assistant-Professor_R37487-1,Asst Prof / Postdoc,Tenure Track,Ohio State University-Main Campus,15,true
2021-2022,2022-01-20T11:02:04.308,University of the Ozarks,Arkansas,Ecosystem / Community Ecology,,https://jobs.chronicle.com/job/433614/assistant-professor-of-biology/,Asst Prof,Tenure Track,University of the Ozarks,22,false
2021-2022,2022-01-21T08:29:26.600,University of New England,Maine,Genetics and/or Cellular and Molecular Biology,2022-02-28,https://une.peopleadmin.com/postings/9247,Asst Prof,Tenure Track,University of New England,16,false
2021-2022,2022-01-21T11:30:13.372,Nicholls State University,Louisiana,Biological Sciences - Pathogenic Microbiology,2022-03-07,https://jobs.nicholls.edu/postings/3509,Asst Prof,Tenure Track,Nicholls State University,19,false
2021-2022,2022-01-21T11:59:25.218,University of Charleston,West Virginia,Organismal Biology,,https://www.higheredjobs.com/search/details.cfm?JobCode=177774167&Title=Assistant%2FAssociate%20Professor%20of%20Biology,Asst / Assoc Prof,Tenure Track,University of Charleston,17,false
2021-2022,2022-01-22T09:37:02.213,University of Nebraska-Lincoln,Nebraska,Quantitative Fungal Ecologist,2022-03-07,https://employment.unl.edu/postings/77161,Asst Prof,Tenure Track,University of Nebraska-Lincoln,15,true
2021-2022,2022-01-22T15:01:24.004,Cornell University,New York,Sustainable Weed Management,2022-03-04,https://academicjobsonline.org/ajo/jobs/20872,Asst / Assoc Prof,Tenure Track,Cornell University,15,true
2021-2022,2022-01-24T09:06:15.934,University of Michigan,Michigan,Disease Ecology & Evolution,2022-02-15,https://lsa.umich.edu/eeb/about-us/director-of-pathogen-biorepository--m-pabi-.html,Rank Open,Tenure Track,University of Michigan-Ann Arbor,15,true
2021-2022,2022-01-24T13:05:47.448,University of Kentucky,Kentucky,Sustainable Pest Management,2022-02-14,https://ukjobs.uky.edu/postings/377222,Asst Prof,Tenure Track,University of Kentucky,15,true
2021-2022,2022-01-25T09:04:19.169,Auburn University,Alabama,Disease Ecology,2022-02-15,https://www.auemployment.com/postings/27328,Asst Prof,Tenure Track,Auburn University,15,true
2021-2022,2022-01-25T09:17:31.675,Stephen F. Austin State University,Texas,Wildlife Management,2022-03-14,https://careers.sfasu.edu/postings/8092,Asst Prof,Tenure Track,Stephen F Austin State University,18,false
2021-2022,2022-01-25T09:18:50.251,University of Washington,Washington,The Changing Ocean,2022-03-15,https://ap.washington.edu/ahr/position-details/?job_id=89777,Asst Prof,Tenure Track,University of Washington-Seattle Campus,15,true
2021-2022,2022-01-25T09:22:48.411,Stephen F. Austin State University,Texas,Wildlife Management & Geospatial Science,2022-03-14,https://careers.sfasu.edu/postings/8093,Asst Prof,Tenure Track,Stephen F Austin State University,18,false
2021-2022,2022-01-25T10:05:29.557,Florida Atlantic University,Florida,Ecology,2022-02-28,https://fau.wd1.myworkdayjobs.com/en-US/FAU/job/Boca-Raton/Assistant-Professor-Ecology---Hydrogeology_REQ12333,Asst Prof,Tenure Track,Florida Atlantic University,16,false
2021-2022,2022-01-26T08:28:55.855,University of West Alabama ,Alabama,Physiology (E&E focus preferred),2022-02-28,https://www.uwa.edu/about/universitydepartments/employment/AsstProfBiology,Asst Prof,Tenure Track,,,
2021-2022,2022-01-26T11:20:56.281,Dean College,Massachusetts,Biology,2022-02-14,https://dean.interviewexchange.com/jobofferdetails.jsp?JOBID=141835,Asst / Assoc Prof,Tenure Track,Dean College,22,false
2021-2022,2022-01-27T07:43:55.505,Washington State University,Washington,Plant Pathology / Mycology,2022-02-01,https://wsu.wd5.myworkdayjobs.com/en-US/WSU_Jobs/job/CLARK-HALL/Assistant-Professor-of-Plant-Pathology---Mycology_R-3691,Asst Prof,Tenure Track,Washington State University,15,true
2021-2022,2022-01-27T09:16:42.681,University of Wyoming,Wyoming,Natural Resources,2022-02-28,https://eeik.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/preview/213374,Asst / Assoc Prof,Tenure Track,University of Wyoming,16,false
2021-2022,2022-01-27T15:31:06.461,Colorado State University,Colorado,Ecosystem Ecology- Land System Scientist,2022-01-30,https://jobs.colostate.edu/postings/97740,Asst Prof,Tenure Track,Colorado State University-Fort Collins,15,true
2021-2022,2022-01-27T18:44:26.724,Tennessee Wesleyan University,Tennessee,Botany; Ecology,,https://www.tnwesleyan.edu/about/departments/human_resources/faculty-openings.php,Asst / Assoc Prof,Tenure Track,Tennessee Wesleyan University,22,false
2021-2022,2022-01-27T18:59:25.096,University of Tennessee at Chattanooga,Tennessee,Genetics,2022-02-21,https://ut.taleo.net/careersection/utc_faculty/jobdetail.ftl?job=220000003M&fbclid=IwAR2htqYQnKYYXLdsUycFsujIk4PTIyr8tcsYYOXlhZMbUOnwXostOl8nNW4,Asst Prof,Tenure Track,The University of Tennessee-Chattanooga,17,false
2021-2022,2022-01-27T21:12:35.037,Barton College,North Carolina,Anatomy,,https://www.barton.edu/assistant-professor-of-anatomy/,Asst Prof,Tenure Track,Barton College,22,false
2021-2022,2022-01-28T09:58:26.815,Lees-McRae College,North Carolina,Wildlife Biology,,https://www.lmc.edu/career-opportunities/current-employment-opportunities.htm,Asst Prof,Tenure Track,Lees-McRae College,22,false
2021-2022,2022-01-30T10:42:37.191,University of Florida,Florida,Computational Biology,2022-02-01,https://explore.jobs.ufl.edu/en-us/job/519490/assistant-professor-in-computational-biology,Asst Prof,Tenure Track,University of Florida,15,true
2021-2022,2022-01-30T13:02:32.916,Eastern Kentucky University,Kentucky,Microbiology,2022-01-05,https://jobs.eku.edu/postings/19110,Asst Prof,Tenure Track,Eastern Kentucky University,17,false
2021-2022,2022-01-31T08:48:26.200,Coastal Carolina Unviersity,South Carolina,Marine Science,,https://jobs.coastal.edu/postings/14608,Asst / Assoc Prof,Tenure Track,Coastal Carolina University,18,false
2021-2022,2022-01-31T12:10:56.124,Penn State,Pennsylvania,Arthropod Vector Biology and/or Ecology,2022-03-01,https://psu.wd1.myworkdayjobs.com/en-US/PSU_Academic/job/University-Park-Campus/Assistant-Associate-Professor-of-Arthropod-Vector-Biology-and-or-Ecology_REQ_0000024667-1,Asst / Assoc Prof,Tenure Track,Pennsylvania State University-Main Campus,15,true
2021-2022,2022-01-31T12:20:52.227,Washington State University,Washington,Endowed Chair of Tree Fruit Entomology and Integrated Pest Management,2022-02-21,https://wsu.wd5.myworkdayjobs.com/en-US/WSU_Jobs/job/Endowed-Chair-of-Tree-Fruit-Entomology-and-Integrated-Pest-Management--Open-Rank_R-4346,Rank Open,Tenure Track,Washington State University,15,true
2021-2022,2022-01-31T18:21:04.139,SUNY ESF,New York,Lotic Ecology / Aquatic Ecosystem Health,2022-03-18,https://esf.interviewexchange.com/jobofferdetails.jsp;jsessionid=400E170AD06DC9D3008F4E8E274E7C00?JOBID=142397,Asst / Assoc Prof,Tenure Track,SUNY College of Environmental Science and Forestry,16,false
2021-2022,2022-02-01T08:42:23.621,University of Maryland Baltimore County,Maryland,Marine Health and Disease,2022-02-14,https://apply.interfolio.com/100174,Asst Prof,Tenure Track,University of Maryland-Baltimore County,15,true
2021-2022,2022-02-01T14:53:17.252,University of Colorado-Boulder,Colorado,Aquatic Ecology and/or Aquatic Biogeochemistry,2022-03-11,https://jobs.chronicle.com/job/440801/assistant-professorship-in-aquatic-ecology-and-or-aquatic-biogeochemistry-/,Asst Prof,Tenure Track,University of Colorado Boulder,15,true
2021-2022,2022-02-01T15:45:19.637,University of Maine,Maine,Marine Biology  (Animal Physiology),2022-03-15,https://umaine.hiretouch.com/job-details?jobID=73401&job=assistant-professor-of-marine-biology,Asst Prof,Tenure Track,University of Maine,15,true
2021-2022,2022-02-02T09:41:53.832,New Mexico State University,New Mexico,"Fish, Wildlife & Conservation Ecology",2022-03-15,https://jobs.nmsu.edu/postings/44826,Asst Prof,Tenure Track,New Mexico State University-Main Campus,16,false
2021-2022,2022-02-02T14:33:20.924,UNC Charlotte,North Carolina,Bioinformatics,2022-03-15,https://jobs.charlotte.edu/postings/39611,Full Prof,Tenure Track,University of North Carolina at Charlotte,16,false
2021-2022,2022-02-03T09:24:17.259,University of Montana,Montana,Waterfowl Conservation,2022-03-06,https://university-montana-hr.silkroad.com/epostings/index.cfm?fuseaction=app.dspjob&jobid=3240&company_id=16254,Chair,Tenure Track,The University of Montana,15,true
2021-2022,2022-02-03T09:26:42.729,University of Idaho,Idaho,Fire Ecology,2022-03-01,https://uidaho.peopleadmin.com/postings/34692,Asst / Assoc Prof,Tenure Track,University of Idaho,16,false
2021-2022,2022-02-03T14:11:49.616,Colorado State University,Colorado,Insect Systematics,2022-03-04,https://jobs.colostate.edu/postings/99118,Asst Prof,Tenure Track,Colorado State University-Fort Collins,15,true
2021-2022,2022-02-04T13:43:47.745,DePauw University,Indiana,Ecology,2022-01-17,https://jobs.chronicle.com/job/419577/assistant-professor-of-biology-ecology-tenure-track-/,Asst Prof,Tenure Track,DePauw University,21,false
2021-2022,2022-02-05T10:11:58.099,University of Alaska,Alaska,Ecology,2022-02-27,https://careers.alaska.edu/cw/en-us/job/518824/assistant-professor-of-biology,Asst Prof,Tenure Track,University of Alaska Anchorage,18,false
2021-2022,2022-02-06T10:02:39.618,Abraham Baldwin Agricultural College,Georgia,Wildlife Ecology & Management,2022-03-15,https://wfscjobs.tamu.edu/jobs/assistant-professor-of-wildlife-ecology-and-management-georgia-2/,Asst Prof,Tenure Track,Abraham Baldwin Agricultural College,23,false
2021-2022,2022-02-08T09:31:49.469,Castleton University,Vermont,Wildlife & Forest Conservation,,https://recruiting.ultipro.com/VER1019VTSC/JobBoard/06c15f89-c0e8-40fd-9477-9f41de684a57/OpportunityDetail?opportunityId=85e62f2b-3d80-45aa-b41d-63e30545b879,Asst Prof,Tenure Track,Castleton University,20,false
2021-2022,2022-02-09T15:37:36.316,University of Wyoming,Wyoming,Forest Ecology,2022-03-10,https://eeik.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/213438/?utm_medium=jobshare,Asst Prof,Tenure Track,University of Wyoming,16,false
2021-2022,2022-02-10T08:08:50.129,University of Georgia,Georgia,Geobiology,2022-02-15,https://www.ugajobsearch.com/postings/240821,Asst Prof,Tenure Track,University of Georgia,15,true
2021-2022,2022-02-10T09:33:27.906,Utah State University,Utah,Biology,2022-03-14,https://careers-usu.icims.com/jobs/4701/assistant-or-associate-professor-in-biology-%e2%80%93-price%2c-ut/job,Asst / Assoc Prof,Tenure Track,Utah State University,15,true
2021-2022,2022-02-11T13:55:07.498,Rowan University,New Jersey,Plant Microbiology / Plant Biotechnology,2022-03-01,https://careers.pageuppeople.com/860/cw/en-us/job/496066/assistant-professor-department-of-biological-sciences,Asst Prof,Tenure Track,Rowan University,16,false
2021-2022,2022-02-11T14:31:25.054,University of Nebraska-Lincolm,Nebraska,Plant Quantitative Genetics,2022-04-04,https://employment.unl.edu/postings/77420,Rank Open,Tenure Track,University of Nebraska-Lincoln,15,true
2021-2022,2022-02-12T10:22:57.170,Long Island University,New York,Biology,,https://jobs.liu.edu/#/job_details/3218,Rank Open,Tenure Track,Long Island University,16,false
2021-2022,2022-02-12T10:25:09.987,Medgar Evers College (CUNY),New York,Biology,2022-03-15,https://cuny.jobs/brooklyn-ny/assistant-professor-or-associate-professor-biology-department-multiple-positions/1DA4D6B993A341CBBADD3E2B712BFE55/job/,Asst / Assoc Prof,Tenure Track,CUNY Medgar Evers College,21,false
2021-2022,2022-02-14T09:48:49.020,University of Florida,Florida,AI for Natural History / Biodiversity,2022-03-15,https://www.floridamuseum.ufl.edu/nhdept/ai-for-natural-history-and-biological-diversity/,Asst / Assoc Prof,Tenure Track,University of Florida,15,true
2021-2022,2022-02-14T11:10:18.886,St. Cloud State University,Minnesota,Plant Biologist,2022-03-15,https://stcloudstate.peopleadmin.com/postings/3010,Asst / Assoc Prof,Tenure Track,Saint Cloud State University,18,false
2021-2022,2022-02-14T12:12:29.981,Cal Poly Humboldt,California,Rangeland Ecology,2022-02-14,https://gcc02.safelinks.protection.outlook.com/?url=https%3A%2F%2Fhraps.humboldt.edu%2Ffaculty-employment-faculty&data=04%7C01%7C%7Cf7b62f9ebe9c4d72b6d308d9ef653bb2%7Ced5b36e701ee4ebc867ee03cfa0d4697%7C0%7C0%7C637804040345715501%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000&sdata=MoApXwjxJ0rzFDJ6tFZw8SizxyCNnDeQGLNa1drjIVM%3D&reserved=0,Asst Prof,Tenure Track,California State Polytechnic University-Humboldt,18,false
2021-2022,2022-02-14T12:16:31.639,University of Idaho,Idaho,Rangeland Ecology,2022-02-27,https://uidaho.peopleadmin.com/postings/34644,Asst / Assoc Prof,Tenure Track,University of Idaho,16,false
2021-2022,2022-02-14T15:19:42.188,Colorado State University,Colorado,Forest Ecology with an Emphasis in Urban Systems,2022-03-18,https://jobs.colostate.edu/postings/99422,Asst Prof,Tenure Track,Colorado State University-Fort Collins,15,true
2021-2022,2022-02-15T17:28:49.431,Evergreen Valley College,California,General Biology,2022-03-06,https://sjeccd.peopleadmin.com/postings/2840,Instructor,Tenure Track,Evergreen Valley College,2,false
2021-2022,2022-02-15T20:23:03.762,Morehead State University,Kentucky,Biology,,https://moreheadstate.peopleadmin.com/postings/14260,Asst Prof,Tenure Track,Morehead State University,18,false
2021-2022,2022-02-16T10:22:53.196,Texas State University,Texas,Water Conservation,2022-04-16,https://jobs.hr.txstate.edu/postings/37596,Assoc / Full Prof,Tenure Track,Texas State University,16,false
2021-2022,2022-02-17T07:14:28.336,Florida International University,Florida,Conservation of Tropical Vertebrates,,https://facultycareers.fiu.edu/?posting=526234,Asst / Assoc Prof,Tenure Track,Florida International University,15,true
2021-2022,2022-02-19T18:49:51.365,East Stroudsburg University,Pennsylvania,Plant Physiology,2022-03-15,https://esu.csod.com/ats/careersite/jobdetails.aspx?site=1&c=esu&id=5753,Asst Prof,Tenure Track,East Stroudsburg University of Pennsylvania,18,false
2021-2022,2022-02-20T09:32:08.730,Adelphi University,New York,Animal Behavior,2022-03-30,https://phf.tbe.taleo.net/phf02/ats/careers/v2/viewRequisition?org=ADELPHI&cws=43&rid=2700,Asst Prof,Tenure Track,Adelphi University,17,false
2021-2022,2022-02-20T13:19:33.675,University of Connecticut,Connecticut,Soil Health & Microbial Ecology,2022-03-15,https://jobs.chronicle.com/job/449043/assistant-professor-of-soil-health-and-microbial-ecology/,Asst Prof,Tenure Track,University of Connecticut,15,true
2021-2022,2022-02-22T19:06:09.298,Alcorn State University,Mississippi,Director of Mississippi River Research Center,,https://jobopps.alcorn.edu/postings/5528,Asst / Assoc Prof,Tenure Track,Alcorn State University,20,false
2021-2022,2022-02-23T11:36:55.577,UC Riverside,California,Vertebrate Biomechanics,2022-04-19,https://jobs.sciencecareers.org/job/588819/asst-professor-in-comparative-biomechanics-of-vertebrates/,Asst Prof,Tenure Track,University of California-Riverside,15,true
2021-2022,2022-02-24T16:54:59.763,Bowling Green State University,Ohio,Environmental Toxicology,2022-03-13,https://bgsu.hiretouch.com/job-details-?jobID=6025&job=associate-full-professor-biological-sciences-environmental-toxicology,Assoc / Full Prof,Tenure Track,Bowling Green State University-Main Campus,16,false
2021-2022,2022-02-25T14:48:19.979,"University of Nevada, Las Vegas",Nevada,Microbial Environmental Genomics,2022-03-15,https://nshe.wd1.myworkdayjobs.com/en-US/UNLV-External/job/UNLV1-Maryland-Campus/Microbial-Environmental-Genomics--Assistant-Professor--School-of-Life-Sciences--R0129065-_R0129065,Asst Prof,Tenure Track,University of Nevada-Las Vegas,15,true
2021-2022,2022-02-27T13:57:12.007,University of Miami,Florida,"Marine, Atmospheric, Environmental or Earth Sciences with Data Science Expertise",,https://umiami.wd1.myworkdayjobs.com/en-US/UMFaculty/job/Miami-FL/Open-Rank-Professor-in-Marine-or-Atmospheric-Science-with-Data-Science-Expertise_R100053049?emid=3640,Rank Open,Tenure Track,University of Miami,15,true
2021-2022,2022-02-28T14:22:24.121,Fresno State University,California,Microbiology,2021-11-01,https://careers.fresnostate.edu/en-us/job/500961/microbiology-assistant-professor,Asst Prof,Tenure Track,California State University-Fresno,16,false
2021-2022,2022-03-01T08:24:18.493,West Texas A&M University,Texas,Vertebrate Physiology,2022-04-01,https://tamus.wd1.myworkdayjobs.com/en-US/WTAMU_External/job/Canyon-WTAMU/Assistant-Professor-of-Biology_R-045796,Asst Prof,Tenure Track,West Texas A & M University,18,false
2021-2022,2022-03-01T14:18:56.125,SUNY ESF,New York,Biology,2022-03-18,https://community.esa.org/m.htm?m=v&hid=346149,Instructor,Tenure Track,SUNY College of Environmental Science and Forestry,16,false
2021-2022,2022-03-02T15:47:33.411,University of the Ozarks,Arkansas,Environmental Studies,,https://ozarks.edu/wp-content/uploads/Environmental-Studies-AP-tt-2022-Job-Advertisement.pdf,Asst Prof,Tenure Track,University of the Ozarks,22,false
2021-2022,2022-03-02T17:51:48.744,University of Central Arkansas,Arkansas,Terrestrial Ecology,2022-03-28,https://jobs.uca.edu/postings/10222,Asst Prof,Tenure Track,University of Central Arkansas,17,false
2021-2022,2022-03-03T13:12:32.803,Mississippi State University,Mississippi,"Fisheries Science, Ecology, & Management",2022-03-15,https://explore.msujobs.msstate.edu/cw/en-us/job/503762/assistantassociate-professor,Asst / Assoc Prof,Tenure Track,Mississippi State University,15,true
2021-2022,2022-03-03T13:37:30.071,UC Riverside,California,Biology,2022-04-29,https://aprecruit.ucr.edu/JPF01549,Asst Prof,Tenure Track,University of California-Riverside,15,true
2021-2022,2022-03-03T16:51:20.676,University of Minnesota,Minnesota,Biology Education,2022-03-18,https://hr.myu.umn.edu/jobs/ext/346507,Assoc / Full Prof,Tenure Track,University of Minnesota-Twin Cities,15,true
2021-2022,2022-03-03T18:56:22.742,Prairie View A&M University,Texas,Biology,2022-03-24,https://tamus.wd1.myworkdayjobs.com/en-US/PVAMU_External/job/Prairie-View-PVAMU/Assistant-Professor--Biology-_R-047347,Asst Prof,Tenure Track,Prairie View A & M University,16,false
2021-2022,2022-03-04T17:53:16.519,Rhode Island College,Rhode Island,Coastal / Marine Ecology,2022-04-11,https://employment.ric.edu/postings/5799,Asst Prof,Tenure Track,Rhode Island College,18,false
2021-2022,2022-03-04T19:58:15.653,Sul Ross State University,Texas,Conservation Biology,,https://sulross.peopleadmin.com/postings/6490,Assoc / Full Prof,Tenure Track,Sul Ross State University,18,false
2021-2022,2022-03-08T15:50:31.229,University of Wisconsin - Madison,Wisconsin,Environmental Soil Chemistry,2022-03-31,https://jobs.hr.wisc.edu/en-us/job/512621/assistant-professor,Asst Prof,Tenure Track,University of Wisconsin-Madison,15,true
2021-2022,2022-03-11T11:23:33.456,Towson University,Maryland,Biomedical sciences,,https://www.towson.edu/provost/prospective/research-assistant-professor-fcsm-3552.html,Asst Prof,Tenure Track,Towson University,18,false
2021-2022,2022-03-11T15:39:49.742,University of Nebraska - Lincoln,Nebraska,Molecular Plant-Microbial Interactions Pathologist,2022-04-15,https://employment.unl.edu/postings/77850,Asst / Assoc Prof,Tenure Track,University of Nebraska-Lincoln,15,true
2021-2022,2022-03-15T15:04:28.187,University of California - Davis,California,"Plant Sciences, Invasive Plants, Restoration Ecology",2022-04-30,https://recruit.ucdavis.edu/JPF04766,Asst Prof,Tenure Track,University of California-Davis,15,true
2021-2022,2022-03-15T15:18:18.329,Georgia Highlands College,Georgia,Biology,,https://careers.hprod.onehcm.usg.edu/psc/careers/CAREERS/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=73000&JobOpeningId=239558&PostingSeq=1&PortalActualURL=https%3a%2f%2fcareers.hprod.onehcm.usg.edu%2fpsc%2fcareers%2fCAREERS%2fHRMS%2fc%2fHRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL%3fPage%3dHRS_APP_JBPST_FL%26Action%3dU%26FOCUS%3dApplicant%26SiteId%3d73000%26JobOpeningId%3d239558%26PostingSeq%3d1&PortalRegistryName=CAREERS&PortalServletURI=https%3a%2f%2fcareers.hprod.onehcm.usg.edu%2fpsp%2fcareers%2f&PortalURI=https%3a%2f%2fcareers.hprod.onehcm.usg.edu%2fpsc%2fcareers%2f&PortalHostNode=APPLICANT&NoCrumbs=yes&PortalKeyStruct=yes,Instructor / Asst Prof,Tenure Track,Georgia Highlands College,23,false
2021-2022,2022-03-15T15:49:14.767,Adams State University ,Colorado,Plant Biology,2022-03-28,https://www.higheredjobs.com/search/details.cfm?JobCode=177811024&Title=Plant%20Biologist%20%2D%20Tenure%20Track%20Faculty,Asst Prof,Tenure Track,,,
2021-2022,2022-03-16T10:33:18.238,Young Harris College,Georgia,Biology,2022-03-21,https://recruiting.myapps.paychex.com/appone/MainInfoReq.asp?R_ID=4421868,Asst Prof,Tenure Track,Young Harris College,21,false
2021-2022,2022-03-20T12:41:10.971,University of South Florida,Florida,Marine Phytoplankon ,2022-04-15,https://gems.usf.edu:4440/psp/gemspro-tam/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=30249&PostingSeq=1,Rank Open,Tenure Track,University of South Florida,15,true
2021-2022,2022-03-21T11:39:13.863,Oregon State University-Cascades,Oregon,Conservation Genetics,,https://jobs.oregonstate.edu/postings/115633,Asst Prof,Tenure Track,Oregon State University,15,true
2021-2022,2022-03-21T13:12:59.880,Iowa State University,Iowa,Microbiology / Entomology / Mycology,2022-04-04,https://isu.wd1.myworkdayjobs.com/IowaStateJobs/job/Ames-IA/Assistant-Professor-in-Insect-Microbe-Plant-Interactions_R7638,Asst Prof,Tenure Track,Iowa State University,15,true
2021-2022,2022-03-22T22:56:21.007,University of Nebraska-Lincoln,Nebraska,Statistical Geneticist,2022-04-04,https://employment.unl.edu/postings/77534,Rank Open,Tenure Track,University of Nebraska-Lincoln,15,true
2021-2022,2022-03-25T16:01:27.173,SUNY Oswego,New York,Evolution,,https://oswego.interviewexchange.com/candapply.jsp;jsessionid=121039BBD129A2E74ED202E230FE472D?JOBID=144508#pageTop,Asst Prof,Tenure Track,State University of New York at Oswego,18,false
2021-2022,2022-03-26T09:27:49.947,Edinboro University,Pennsylvania,Vertebrate Biology,,https://jobs.edinboro.edu/postings/8127,Asst Prof,Tenure Track,Pennsylvania Western University,18,false
2021-2022,2022-03-26T21:33:13.963,Appalachian State University,North Carolina,Agroecology,2022-03-25,https://appstate.peopleadmin.com/postings/32855,Asst Prof,Tenure Track,Appalachian State University,18,false
2021-2022,2022-03-28T16:27:33.764,University of Alaska Fairbanks,Alaska,"Oceanography (Fisheries, Biological, Chemical, Geological, Physical)",2022-05-31,https://careers.alaska.edu/cw/en-us/job/519167?lApplicationSubSourceID=,Asst Prof,Tenure Track,University of Alaska Fairbanks,16,false
2021-2022,2022-03-29T20:32:43.131,University of Louisiana at Lafayette,Louisiana,Biology,2022-03-28,https://louisiana.csod.com/ux/ats/careersite/1/home/requisition/1742,Asst Prof,Tenure Track,University of Louisiana at Lafayette,15,true
2021-2022,2022-03-30T15:03:31.163,University of Hawaiʻi at Mānoa,Hawaii,Microbiology,2022-04-15,https://www.schooljobs.com/careers/hawaiiedu/jobs/3487132/assistant-professor-school-of-life-sciences-pos-no-0083305,Asst Prof,Tenure Track,University of Hawaii at Manoa,15,true
2021-2022,2022-04-01T10:53:06.786,UC Riverside,California,Mosquito Biologist / Ecologist,2022-05-20,https://aprecruit.ucr.edu/JPF01512,Asst Prof,Tenure Track,University of California-Riverside,15,true
2021-2022,2022-04-04T10:53:31.319,Northeastern,Massachusetts,Bioinformatics,,https://northeastern.wd1.myworkdayjobs.com/en-US/careers/job/Assistant-Associate-Teaching-Professor--Bioinformatics_R103927,Asst / Assoc Prof,Tenure Track,Northeastern University,15,true
2021-2022,2022-04-11T13:21:13.408,William & Mary,Virginia,Estuarine and Coastal Numerical Modelling,2022-04-18,https://jobs.wm.edu/postings/46815,Assoc / Full Prof,Tenure Track,William & Mary,16,false
2021-2022,2022-04-14T18:36:18.533,University of Minnesota,Minnesota,Corn Entomology,2022-05-20,https://entomology.umn.edu/faculty-search-professor-and-extension-entomologist-corn-entomology,Asst Prof,Tenure Track,University of Minnesota-Twin Cities,15,true
2021-2022,2022-04-20T11:52:21.854,University of Wyoming,Wyoming,Animal Biology,2022-05-15,https://eeik.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/220475/?utm_medium=jobshare,Assistant Instructional Professor,Tenure Track,University of Wyoming,16,false
2021-2022,2022-04-22T17:27:59.613,University of Wisconsin - Green Bay,Wisconsin,Biodiversity,2022-05-08,https://www.uwgb.edu/human-resources/employment/career-opportunities/director-of-cofrin-center-for-biodiversity/,Assoc / Full Prof,Tenure Track,University of Wisconsin-Green Bay,19,false
2021-2022,2022-04-25T18:51:46.107,University of Maryland,Maryland,Quantitative Ecology,2022-04-15,https://ejobs.umd.edu/postings/93465,Asst Prof,Tenure Track,University of Maryland-College Park,15,true
2021-2022,2022-04-27T01:01:51.902,University of Hawai'i at Manoa,Hawaii,Ocean Biogeochemistry,2022-07-01,https://www.governmentjobs.com/jobs/3523632-0/assistant-professor-0085973,Asst Prof,Tenure Track,University of Hawaii at Manoa,15,true
2021-2022,2022-04-27T10:16:23.339,Mississippi State University,Mississippi,Disease Ecology,2022-05-31,https://wfscjobs.tamu.edu/jobs/assistant-associate-professor-of-wildlife-disease-ecology-and-one-health-mississippi/,Asst / Assoc Prof,Tenure Track,Mississippi State University,15,true
2021-2022,2022-05-02T18:39:36.449,Mississippi State University,Mississippi,Forestry ,,https://explore.msujobs.msstate.edu/en-us/job/503399/assistant-professor,Asst Prof,Tenure Track,Mississippi State University,15,true
2021-2022,2022-05-04T00:35:50.832,Salk Institute,California,Plant Biology,2022-08-01,https://apply.interfolio.com/106423,Asst Prof,Tenure Track,,,
2021-2022,2022-05-04T18:01:15.297,New Mexico State University ,New Mexico,Rangeland Ecology,2022-05-15,https://jobs.nmsu.edu/postings/45692,Asst / Assoc Prof,Tenure Track,New Mexico State University-Dona Ana,5,false
2021-2022,2022-05-12T16:35:25.593,University of Hawai'i,Hawaii,Coral Reef Systems,2022-06-30,https://www.himb.hawaii.edu/2022/05/03/himb-recruits-ruth-d-gates-endowed-chair-position-in-coral-reef-systems/,Assoc / Full Prof,Tenure Track,University of Hawaii Maui College,14,false
2021-2022,2022-05-12T23:37:15.829,University of Arkansas at Little Rock,Arkansas,"Ecology, conservation biology, animal physiology, or vertebrate zoology",2022-05-13,https://jobs.sciencecareers.org/job/595458/r0011578-assistant-professor-of-biology/,Asst Prof,Tenure Track,University of Arkansas at Little Rock,16,false
2021-2022,2022-05-23T15:18:30.776,Case Western Reserve University,Ohio,"Department Chair, Biology",2022-06-24,https://case.edu/academic-careers/professor-and-chair-department-biology,Full Prof,Tenure Track,Case Western Reserve University,15,true
